"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TT_TU_MN009","1443","201905140600","8.5","1","7"
"TT_TU_MN009","1443","201905140700","10.8","1","7"
"TT_TU_MN009","1443","201905140800","13.1","1","7"
"TT_TU_MN009","1443","201905140900","14","1","7"
"TT_TU_MN009","1443","201905141000","14.2","1","7"
"TT_TU_MN009","1443","201905141100","15.2","1","7"
"TT_TU_MN009","1443","201905141200","15.5","1","7"
"TT_TU_MN009","1443","201905141300","15.5","1","7"
"TT_TU_MN009","1443","201905141400","16.2","1","7"
"TT_TU_MN009","1443","201905141500","15.6","1","7"
"TT_TU_MN009","1443","201905141600","15.2","1","7"
"TT_TU_MN009","1443","201905141700","15","1","7"
"TT_TU_MN009","1443","201905141800","14","1","7"
"TT_TU_MN009","1443","201905141900","12.5","1","7"
"TT_TU_MN009","1443","201905142000","11.7","1","7"
"TT_TU_MN009","1443","201905142100","9.4","1","7"
"TT_TU_MN009","1443","201905142200","9.7","1","7"
"TT_TU_MN009","1443","201905142300","9.6","1","7"
"TT_TU_MN009","1443","201905150000","9","1","7"
"TT_TU_MN009","1443","201905150100","8.8","1","7"
"TT_TU_MN009","1443","201905150200","8.1","1","7"
"TT_TU_MN009","1443","201905150300","6.2","1","7"
"TT_TU_MN009","1443","201905150400","5.7","1","7"
"TT_TU_MN009","1443","201905150500","6","1","7"
"TT_TU_MN009","1443","201905150600","7.1","1","7"
"TT_TU_MN009","1443","201905150700","9.5","1","7"
"TT_TU_MN009","1443","201905150800","10.7","1","7"
"TT_TU_MN009","1443","201905150900","12.8","1","7"
"TT_TU_MN009","1443","201905151000","13.5","1","7"
"TT_TU_MN009","1443","201905151100","14.4","1","7"
"TT_TU_MN009","1443","201905151200","15.4","1","7"
"TT_TU_MN009","1443","201905151300","14.6","1","7"
"TT_TU_MN009","1443","201905151400","14.6","1","7"
"TT_TU_MN009","1443","201905151500","15.5","1","7"
"TT_TU_MN009","1443","201905151600","15.3","1","7"
"TT_TU_MN009","1443","201905151700","14.4","1","7"
"TT_TU_MN009","1443","201905151800","14.3","1","7"
"TT_TU_MN009","1443","201905151900","13.1","1","7"
"TT_TU_MN009","1443","201905152000","11.1","1","7"
"TT_TU_MN009","1443","201905152100","8.2","1","7"
"TT_TU_MN009","1443","201905152200","7.2","1","7"
"TT_TU_MN009","1443","201905152300","7.5","1","7"
"TT_TU_MN009","1443","201905160000","7.1","1","7"
"TT_TU_MN009","1443","201905160100","4","1","7"
"TT_TU_MN009","1443","201905160200","3.9","1","7"
"TT_TU_MN009","1443","201905160300","4.1","1","7"
"TT_TU_MN009","1443","201905160400","2.8","1","7"
"TT_TU_MN009","1443","201905160500","4.4","1","7"
"TT_TU_MN009","1443","201905160600","6.5","1","7"
"TT_TU_MN009","1443","201905160700","8.9","1","7"
"TT_TU_MN009","1443","201905160800","10.9","1","7"
"TT_TU_MN009","1443","201905160900","12.1","1","7"
"TT_TU_MN009","1443","201905161000","13.4","1","7"
"TT_TU_MN009","1443","201905161100","13.4","1","7"
"TT_TU_MN009","1443","201905161200","14.2","1","7"
"TT_TU_MN009","1443","201905161300","14.7","1","7"
"TT_TU_MN009","1443","201905161400","15.4","1","7"
"TT_TU_MN009","1443","201905161500","15.6","1","7"
"TT_TU_MN009","1443","201905161600","15.4","1","7"
"TT_TU_MN009","1443","201905161700","15.3","1","7"
"TT_TU_MN009","1443","201905161800","14.1","1","7"
"TT_TU_MN009","1443","201905161900","13.1","1","7"
"TT_TU_MN009","1443","201905162000","12.8","1","7"
"TT_TU_MN009","1443","201905162100","12.8","1","7"
"TT_TU_MN009","1443","201905162200","11.4","1","7"
"TT_TU_MN009","1443","201905162300","12.3","1","7"
"TT_TU_MN009","1443","201905170000","11.7","1","7"
"TT_TU_MN009","1443","201905170100","8.9","1","7"
"TT_TU_MN009","1443","201905170200","7.1","1","7"
